Name	smiles
CHEMBL1090479	CCn1cc(-c2ccnc3[nH]c(-c4cccc(C[NH+](C)C)c4)cc23)c(-c2ccc(NC(=O)[NH+](C)C)cc2)n1
CHEMBL1090488	C[C@@H]1C[N@H+](C(=O)[C@@H]2C[N@@H+](C(C)(C)C)C[C@H]2c2ccc(F)cc2F)C[C@H](C)[C@@]1(O)c1ccccc1
CHEMBL1090771	NC(=O)[C@@H](CCC(F)(F)F)[N@@H+](Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1
CHEMBL1091	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL1091644	C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
CHEMBL1092	O[C@@](CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1
CHEMBL1092067	OC[C@H]1O[C@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O
CHEMBL1092581	CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12
CHEMBL1092665	COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)[O-])CS2)c([O-])c1
CHEMBL1093	CCC[NH2+][C@@H](C)C(=O)Nc1c(C)csc1C(=O)OC
CHEMBL1093458	CC/C(=C(\c1ccc([O-])cc1)c1ccc(OCC[NH2+]C)cc1)c1ccccc1
CHEMBL1094	NC(=O)OCC(COC(N)=O)c1ccccc1
CHEMBL1094785	COc1ccc(C[C@@H](C)[NH2+]C[C@H](O)c2ccc([O-])c3[n-]c(=O)ccc23)cc1
CHEMBL109480	C=CC[NH2+]C1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
CHEMBL1095	CC[N@@H+]1C(=O)N[C@H](c2ccccc2)C1=O
CHEMBL1095032	O=C1NCCC[N@H+]1[C@H]1CC[N@@H+](C(=O)[C@H](O)CS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
CHEMBL1095097	COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13
CHEMBL1095282	CN1C(=O)[C@@H](OC(=O)[NH+](C)C)N=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL1095284	[NH3+][C@@H](C(=O)N[C@@H]1C(=O)[N@@H+]2C(C(=O)[O-])=C(CSc3c[n-]nn3)CS[C@H]12)c1ccc([O-])cc1
CHEMBL1095699	N=[N+]=CC(=O)OC[C@H]([NH3+])C(=O)[O-]
CHEMBL1095930	CO/N=C(\C(=O)N[C@@H]1C(=O)[N@@H+]2C(C(=O)O[C@H](C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1
CHEMBL1096	CC(C)c1ccc2oc3nc(N)c(C(=O)[O-])cc3c(=O)c2c1
CHEMBL1096146	CCC/[NH+]=C1\S/C(=C\c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C
CHEMBL1096380	CC(C)(C)c1[n-]cnc1/C=c1\[n-]c(=O)/c(=C/c2ccccc2)[n-]c1=O
CHEMBL1096562	COC(=O)CCC(=O)C[NH3+]
CHEMBL1096643	CC[NH+](CC)CC[C@@]1(c2ccccc2)CCC(=O)NC1=O
CHEMBL1096842	COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC/C=C/c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1
CHEMBL1096882	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
CHEMBL1096927	CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1
CHEMBL1096979	[NH3+][C@@H](CO)C(=O)[N-]NCc1ccc([O-])c([O-])c1[O-]
CHEMBL1097205	CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2
CHEMBL1097235	NS(=O)(=O)c1cc(-c2nnn[n-]2)c(NCc2cccs2)cc1Cl
CHEMBL1097615	CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[n-]c1=O
CHEMBL1097620	CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
